dept,dept_group,title,published_date,year,month,month_name,quarter,quarter_label,year_month,relevance_score,priority_category,requires_action,policy_type,business_impact,sector_focus,ai_application,stage,audience,ai_summary,primary_topic,key_topics,recency,days_since_published,summary_word_count,topics_count,description,url,format,display_type,collection_date
DSIT,Innovation & Business,AI Opportunities Action Plan: dashboard,2026-01-29T00:01:11.000Z,2026,1,January,1,Q1 2026,2026-01,0.8,2-High,No,Implementation Guidance,High Impact,Cross-Sector,Innovation & R&D,Active,Business/Private Sector,Interactive dashboard tracking progress on AI opportunities action plan initiatives.,AI Opportunities,"AI, Opportunities",Last month,1,15,2,An interactive dashboard showing detailed progress for each action of the AI Opportunities Action Plan.,https://www.gov.uk/government/publications/ai-opportunities-action-plan-dashboard,guidance,Guidance,2026-01-30T00:00:00.000Z
DSIT,Innovation & Business,Assessment of AI capabilities and the impact on the UK labour market,2026-01-28T00:01:04.000Z,2026,1,January,1,Q1 2026,2026-01,0.8,2-High,No,Research & Analysis,Background,Cross-Sector,Innovation & R&D,Active,Government/Public Sector,Assessment of AI capability development and potential impacts on UK labour market.,AI Capabilities,AI,Last month,2,22,1,"An initial, high-level assessment of existing evidence on how AI capabilities are developing and their potential impacts on the UK labour market.",https://www.gov.uk/government/publications/assessment-of-ai-capabilities-and-the-impact-on-the-uk-labour-market,research,Research,2026-01-30T00:00:00.000Z
DSIT,Innovation & Business,R&D Science and Analysis Programme - AI Skills for Life and Work,2026-01-28T00:01:02.000Z,2026,1,January,1,Q1 2026,2026-01,0.8,2-High,No,Research & Analysis,Background,Cross-Sector,Workforce & Skills,Active,Government/Public Sector,"Research on AI skills development for life and work, including expert and public perspectives.",AI Skills,"AI, Skills",Last month,2,13,2,R&D Science and Analysis Programme - AI Skills for Life and Work reports,https://www.gov.uk/government/collections/rd-science-and-analysis-programme-ai-skills-for-life-and-work,document_collection,document_collection,2026-01-30T00:00:00.000Z
DSIT,Innovation & Business,AI Skills for Life and Work: Delphi Study,2026-01-28T00:01:02.000Z,2026,1,January,1,Q1 2026,2026-01,0.8,2-High,No,Research & Analysis,Background,Cross-Sector,Workforce & Skills,Active,Government/Public Sector,"Research on AI skills development for life and work, including expert and public perspectives.",AI Skills,"AI, Skills",Last month,2,23,2,One of 11 reports produced for the AI Skills for Life and Work R&D project. Delphi study capturing expert views on the subject.,https://www.gov.uk/government/publications/ai-skills-for-life-and-work-delphi-study,research,Research,2026-01-30T00:00:00.000Z
DSIT,Innovation & Business,AI Skills for Life and Work: General Public Survey Findings,2026-01-28T00:01:02.000Z,2026,1,January,1,Q1 2026,2026-01,0.8,2-High,No,Research & Analysis,Background,Cross-Sector,Workforce & Skills,Active,Government/Public Sector,"Research on AI skills development for life and work, including expert and public perspectives.",AI Skills,"AI, Skills",Last month,2,23,2,"One of 11 reports produced for the AI Skills for Life and Work R&D project, focusing on findings from the general public survey",https://www.gov.uk/government/publications/ai-skills-for-life-and-work-general-public-survey-findings,research,Research,2026-01-30T00:00:00.000Z
DSIT,Innovation & Business,AI Skills for Life and Work: Rapid Evidence Review,2026-01-28T00:01:02.000Z,2026,1,January,1,Q1 2026,2026-01,0.8,2-High,No,Research & Analysis,Background,Cross-Sector,Workforce & Skills,Active,Government/Public Sector,"Research on AI skills development for life and work, including expert and public perspectives.",AI Skills,"AI, Skills",Last month,2,24,2,"One of 11 reports produced for the AI Skills for Life and Work R&D project, focusing on key findings from the rapid evidence review",https://www.gov.uk/government/publications/ai-skills-for-life-and-work-rapid-evidence-review,research,Research,2026-01-30T00:00:00.000Z
DSIT,Innovation & Business,AI Skills for Life and Work: Job Vacancy Analysis,2026-01-28T00:01:02.000Z,2026,1,January,1,Q1 2026,2026-01,0.8,2-High,No,Research & Analysis,Background,Cross-Sector,Workforce & Skills,Active,Government/Public Sector,"Research on AI skills development for life and work, including expert and public perspectives.",AI Skills,"AI, Skills, Data",Last month,2,23,3,"One of 11 reports produced for the AI Skills for Life and Work R&D project, focusing on the analysis of job vacancy data.",https://www.gov.uk/government/publications/ai-skills-for-life-and-work-job-vacancy-analysis,research,Research,2026-01-30T00:00:00.000Z
DSIT,Innovation & Business,TechLocal,2026-01-28T00:01:00.000Z,2026,1,January,1,Q1 2026,2026-01,0.8,2-High,No,Implementation Guidance,Background,Cross-Sector,Innovation & R&D,Active,Business/Private Sector,details of the techlocal grant funding programme to boost digital skills and jobs.,AI Policy,"AI, Skills",Last month,2,13,2,Details of the TechLocal grant funding programme to boost digital skills and jobs.,https://www.gov.uk/government/publications/techlocal,guidance,Guidance,2026-01-30T00:00:00.000Z
Treasury,Finance & Economy,AI Champions appointed to help City safely seize AI opportunities,2026-01-20T09:00:03.000Z,2026,1,January,1,Q1 2026,2026-01,0.8,3-Medium,No,Funding & Investment,Background,Financial Services,Innovation & R&D,Active,Financial Services,two leading industry figures have been appointed to spearhead the rollout of artificial intellige...,AI Opportunities,"AI, Opportunities",Last month,9,36,2,"Two leading industry figures have been appointed to spearhead the rollout of artificial intelligence in financial services, as the government doubles down on seizing the opportunities of AI to drive growth, productivity and investment across the economy.  ",https://www.gov.uk/government/news/ai-champions-appointed-to-help-city-safely-seize-ai-opportunities,news_story,news_story,2026-01-30T00:00:00.000Z
DSIT,Innovation & Business,Making government datasets ready for AI,2026-01-19T16:00:04.000Z,2026,1,January,1,Q1 2026,2026-01,0.8,2-High,No,Implementation Guidance,Background,Digital Infrastructure,Data & Analytics,Active,Business/Private Sector,Guidelines for preparing government datasets to enable AI applications and innovation.,Data Readiness,"AI, Data",Last month,10,21,2,Guidelines and best practices that will help make government datasets ready for AI and unlock the full potential of artificial intelligence.,https://www.gov.uk/government/publications/making-government-datasets-ready-for-ai,guidance,Guidance,2026-01-30T00:00:00.000Z
DfE,Education,Generative AI: product safety standards,2026-01-19T12:38:17.000Z,2026,1,January,1,Q1 2026,2026-01,0.8,3-Medium,No,Implementation Guidance,Strategic,Public Safety,Safety & Security,Active,Business/Private Sector,Safety standards for generative AI products in educational settings.,AI Safety,"AI, Safety, Guidance",Last month,10,17,3,Guidance on the safety standards for generative AI products and systems developed for use in educational settings.,https://www.gov.uk/government/publications/generative-ai-product-safety-standards,guidance,Guidance,2026-01-30T00:00:00.000Z
DSIT,Innovation & Business,AI for Science Strategy: UK universities' joint statement,2026-01-15T11:39:41.000Z,2026,1,January,1,Q1 2026,2026-01,0.8,2-High,No,Strategy & Frameworks,High Impact,Cross-Sector,Innovation & R&D,Active,Government/Public Sector,uk universities support on shared objectives and lessons learned on ai for science.,AI for Science,AI,Last month,14,13,1,UK universities support on shared objectives and lessons learned on AI for science.,https://www.gov.uk/government/publications/ai-for-science-strategy-uk-universities-joint-statement,notice,Notice,2026-01-30T00:00:00.000Z
